,Ats System Code,Location Code,Location Name,Beds Number,Managed By Name,Location Type Description,School Type,Offers Kindergarten Classes,Has A Pre-K,Grades Offered,Date The School Building Opened,Year The School Building Opened,Age of The School Building,X Coordinate,Y Coordinate,Community District,Council District,Census Tract,Borough Block Lot,NTA,Neighborhood,Principal,Geographical District Code,Admin District Location Code,Lat,Lon,Pre-K Seats Available,Pre-K Applicants,Pre-K offers,Pre-K Admissions Rate,Kindergarten Seats Available,Kindergarten Applicants,Kindergarten offers,Kindergarten Admissions Rate,Grade 6 Seats Available,Grade 6 Applicants,Grade 6 offers,Grade 6 Admissions Rate,Grade 9 Seats Available,Grade 9 Applicants,Grade 9 offers,Grade 9 Admissions Rate, Pre-K Total Enrollment Including Half Day And Full Day,Number of Female Students in Pre-K,Percentage of Female Students in Pre-K,Number of Male Students in Pre-K,Percentage of Male Students in Pre-K,Number of Asian Students in Pre-K,Percentage of Asian Students in Pre-K,Number of Black Students in Pre-K,Percentage of Black Students in Pre-K,Number of Hispanic Students in Pre-K,Percentage of Hispanic Students in Pre-K,Number of Students with a Race listed as Other in Pre-K,Percentage of Students with a Race listed as Other in Pre-K,Number of White Students in Pre-K,Percentage of White Students in Pre-K,Number of K Through 8 Students Who Passed The State English Language Arts Exams,Percentage of K Through 8 Students Who Passed The State English Language Arts Exams,Number of K Through 8 Students Who Passed The State Math Exam,Percentage of K Through 8 Students Who Passed The State Math Exam,Does the Schol Have A Gifted And Talented Program,Total Number of Removals and Suspensions,Kindergarten General Education Average Class Size,Kindergarten Integrated Co-Teaching And Gifted and Talented Average Class Size ,Kindergarten Gifted and Talented Average Class Size ,Kindergarten Integrated Co-Teaching Average Class Size ,Full Time Licensed Pe Teachers,Type of Physical Education Space,Is Physical Education Space Shared With Other Schools,Is the Physical Education Space Inside or Outside,Is Physical Education Space Space Used For Any Other Purpose Beside Physical Education,Does the School have an Auditorium,Does the School have a Library,"Total Number of Teachers, Administrators and Support Staff",Total Expense Budget,PTA Funding,PTA Funding Per Student,Total Enrollment,Number of Students In Grade K,Number of Students In Grade 1,Number of Students In Grade 2,Number of Students In Grade 3,Number of Students In Grade 4,Number of Students In Grade 5,Number of Students In Grade 6,Number of Students In Grade 7,Number of Students In Grade 8,Number of Students In Grade 9,Number of Students In Grade 10,Number of Students In Grade 11,Number of Students In Grade 12,Number of Female Students,Percentage of Female Students,Number of Male Students,Percentage of Male Students,Number of Asian Students,Percentage of Asian Students,Number of Black Students,Percentage of Black Students,Number of Hispanic Students,Percentage of Hispanic Students,Number of Multiple Race Categories Not Represented,Percentage of Multiple Race Categories Not Represented,Number of White Students,Percentage of White Students,Number of Students With Disabilities,Percentage of Students With Disabilities,Number of English Language Learners,Percentage of English Language Learners,Number of Students In Poverty,Percentage of  Students In Poverty,Economic Need Index,Average Daily Breakfast Participation,Average Daily Lunch Participation,Number of Salad Bars,Elementary Admissions Methods,Elementary School Admissions Methods Description,Does the School have a Gifted and Talented Program in Kindergarten,Did The School Make offers To Students Who Live Outside The Zone,Type of Dual Language Programs,Phone Number,Address,Number of Guidance Counselors,Number of Social Workers,Is the School Co Located,How Accessible is the School,All Four Arts Disciplines Provided to Grades 1 through 5
10,01M184,M184,P.S. 184m Shuang Wen,310000000000.0,DOE,General Academic,K-8,Yes,Yes,"Pre-K, K, 1, 2, 3, 4, 5, 6, 7, 8, SE",6/22/1999,1999,19,988287,198359,103,1,201,1002450007,MN28,Lower East Side                                                            ,Iris Chiu,1,M801,40.711125,-73.985438,36,133,36,27%,75,240,65,27%,93,316,112,0.35443038,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,35,16,46%,19,54%,22,63%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,9,26%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,315,71%,351,79%,No,0,24,0,0,24,2,Multi-Purpose Non Classroom,N,Inside,Y,No,No,79,"$7,576,339",$0,$0,684,72,69,54,72,65,53,94,83,87,0,0,0,0,341,50%,343,50%,475,69%,25,4%,92,13%,42,6%,50,7%,113,17%,103,15%,462,68%,64%,114,445,1,Non-Zoned,No preference for kids who live in the zone,No,No Data,Chinese,212-602-9700,"327 CHERRY STREET, MANHATTAN NY 10002",2,0,No,Partially Accessible,No
11,01M188,M188,P.S. 188 The Island School,310000000000.0,DOE,General Academic,K-8,Yes,Yes,"Pre-K, K, 1, 2, 3, 4, 5, 6, 7, 8, SE",7/1/1904,1904,114,990520,201552,103,2,2000,1003560100,MN28,Lower East Side                                                            ,Suany Ramos,1,M801,40.719888,-73.97738000000001,18,50,14,28%,50,74,29,39%,47,101,49,0.485148515,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,19,9,47%,10,53%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,7,37%,10,53%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,115,40%,87,30%,No,75,16,0,0,21,1,Multi-Purpose Room,Y,Inside,Y,No,No,67,"$6,098,584",$0,$0,433,37,40,43,43,47,42,47,55,60,0,0,0,0,185,43%,248,57%,8,2%,127,29%,286,66%,0,0%,12,3%,126,29%,69,16%,396,91%,95%,199,283,1,Non-Zoned,No preference for kids who live in the zone,No,No Data,Spanish,212-677-5710,"442 EAST HOUSTON STREET, NEW YORK NY 10002",2,1,Yes,Fully Accessible,No
12,01M315,M315,The East Village Community School,310000000000.0,DOE,General Academic,Elementary,Yes,Yes,"Pre-K, K, 1, 2, 3, 4, 5, SE",7/1/1999,1999,19,990277,204339,103,2,2800,1003940012,MN28,Lower East Side                                                            ,Bradley Goodman,1,M801,40.727537,-73.978254,36,226,36,16%,50,324,56,17%,No 6th Grade,No 6th Grade,No 6th Grade,No 6th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,36,19,53%,17,47%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,8,22%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,19,53%,68,62%,73,68%,No,6,21,0,0,25,1,Auxiliary Exercise Room,Y,Inside,N,No,No,40,"$3,217,099",$0,$0,318,46,50,50,48,40,48,0,0,0,0,0,0,0,161,51%,157,49%,32,10%,17,5%,64,20%,22,7%,183,58%,55,17%,4,1%,80,25%,35%,40,106,1,Non-Zoned,No preference for kids who live in the zone,No,No Data,None,212-982-0682,"610 EAST  12 STREET, MANHATTAN NY 10009",1,0,Yes,Not Accessible,No
13,01M361,M361,The Children's Workshop School,310000000000.0,DOE,General Academic,Elementary,Yes,Yes,"Pre-K, K, 1, 2, 3, 4, 5, SE",7/1/1999,1999,19,990277,204339,103,2,2800,1003940012,MN28,Lower East Side                                                            ,Maria Velez Clarke,1,M801,40.727537,-73.978254,36,225,36,16%,75,292,73,25%,No 6th Grade,No 6th Grade,No 6th Grade,No 6th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,36,22,61%,14,39%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,16,44%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,12,33%,66,70%,52,53%,No,0,19,0,0,19,0,Auxiliary Exercise Room,Y,Inside,N,No,No,39,"$3,785,990",$0,$0,315,57,61,48,46,35,32,0,0,0,0,0,0,0,146,46%,169,54%,31,10%,29,9%,124,39%,20,6%,111,35%,67,21%,9,3%,142,45%,49%,31,124,1,Non-Zoned,No preference for kids who live in the zone,No,No Data,None,212-614-9531,"610 EAST  12 STREET, MANHATTAN NY 10009",0,0,Yes,Not Accessible,No
14,01M363,M363,Neighborhood School,310000000000.0,DOE,General Academic,Elementary,Yes,Yes,"Pre-K, K, 1, 2, 3, 4, 5, SE",7/1/1999,1999,19,988071,203210,103,2,3200,1004310014,MN22,East Village                                                               ,Dyanthe Spielberg,1,M801,40.72444,-73.986214,36,234,36,15%,100,283,45,16%,No 6th Grade,No 6th Grade,No 6th Grade,No 6th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,18,11,61%,7,39%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,6,33%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,10,56%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,No,0,12,0,0,19,1,Dance Room,Y,Inside,N,No,No,41,"$3,534,254","$16,217",$53,304,56,50,49,51,43,37,0,0,0,0,0,0,0,149,49%,155,51%,19,6%,28,9%,106,35%,11,4%,140,46%,64,21%,11,4%,133,44%,48%,80,109,3,Non-Zoned,No preference for kids who live in the zone,No,No Data,None,212-387-0195,"121 EAST  3 STREET, MANHATTAN NY 10009",1,0,Yes,Not Accessible,No
15,01M364,M364,Earth School,310000000000.0,DOE,General Academic,Elementary,Yes,Yes,"Pre-K, K, 1, 2, 3, 4, 5, SE",7/1/1999,1999,19,989351,202733,103,2,2601,1003870001,MN28,Lower East Side                                                            ,Abbe Futterman,1,M801,40.72313,-73.981597,36,237,36,15%,75,327,73,22%,No 6th Grade,No 6th Grade,No 6th Grade,No 6th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,35,19,54%,16,46%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,13,37%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,13,37%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,No,Redacted For Privacy Concerns,21,0,0,20,0,Multi-Purpose Classroom,Y,Inside,Y,No,No,45,"$4,112,710","$31,403",$88,355,62,53,47,55,51,52,0,0,0,0,0,0,0,161,45%,194,55%,24,7%,40,11%,139,39%,31,9%,121,34%,91,26%,21,6%,188,53%,54%,23,161,1,Non-Zoned,No preference for kids who live in the zone,No,No Data,None,212-477-1735,"600 EAST  6 STREET, MANHATTAN NY 10009",1,0,Yes,Not Accessible,No
16,01M539,M539,"New Explorations into Science, Technology and Math",310000000000.0,DOE,General Academic,K-12 all grades,Yes,No,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, SE",7/1/2000,2000,18,989910,201380,103,2,2201,1003350001,MN28,Lower East Side                                                            ,Mark Berkowitz,1,HS04,40.719415999999995,-73.97958100000001,No Pre K,No Pre K,No Pre K,No Pre K,No Data,No Data,No Data,No Data,150,4005,163,0.040699126,160,5741,512,0.089183069,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,746,96%,612,96%,Yes,32,0,0,25,0,6,Multi-Purpose Classroom,N,Inside,Y,No,No,127,"$11,163,351","$431,755",$249,1734,100,116,149,122,116,112,152,149,136,145,163,146,128,831,48%,903,52%,575,33%,134,8%,204,12%,129,7%,692,40%,139,8%,14,1%,395,23%,28%,171,607,2,Citywide G&T,,Yes,No Data,None,212-677-5190,"111 COLUMBIA STREET, MANHATTAN NY 10002",5,0,No,Not Accessible,No
17,02M001,M001,P.S. 001 Alfred E. Smith,310000000000.0,DOE,General Academic,Elementary,Yes,Yes,"Pre-K, K, 1, 2, 3, 4, 5, SE",07/01/1898,1898,120,984949,198878,103,1,2700,1002790040,MN27,Chinatown                                                                  ,Amy Hom,2,M802,40.71255,-73.997478,54,111,50,45%,75,144,36,25%,No 6th Grade,No 6th Grade,No 6th Grade,No 6th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,24,13,54%,11,46%,10,42%,7,29%,7,29%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,77,52%,81,54%,No,0,14,0,0,16,1,Adaptive Physical Education,N,Inside,N,No,No,48,"$4,681,945",$0,$0,318,44,51,46,47,55,51,0,0,0,0,0,0,0,158,50%,160,50%,170,53%,56,18%,82,26%,4,1%,6,2%,81,25%,64,20%,250,79%,83%,95,269,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,Chinese,212-267-4133,"8 HENRY STREET, MANHATTAN NY 10038",1,0,No,Not Accessible,Yes
18,02M002,M002,P.S. 002 Meyer London,310000000000.0,DOE,General Academic,Elementary,Yes,Yes,"Pre-K, K, 1, 2, 3, 4, 5, SE",7/1/1958,1958,60,986600,199008,103,1,600,1002730001,MN28,Lower East Side                                                            ,Silvana Ng,2,M802,40.712907,-73.991523,36,107,33,31%,100,175,71,41%,No 6th Grade,No 6th Grade,No 6th Grade,No 6th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,22,12,55%,10,45%,14,64%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,165,62%,192,72%,No,Redacted For Privacy Concerns,22,0,0,22,0,Gymnasium,N,Inside,N,No,No,81,"$7,159,509",$0,$0,552,88,69,81,79,93,120,0,0,0,0,0,0,0,261,47%,291,53%,434,79%,29,5%,82,15%,2,0%,5,1%,119,22%,180,33%,533,97%,90%,124,471,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,None,212-964-0350,"122 HENRY STREET, MANHATTAN NY 10002",1,0,No,Not Accessible,No
19,02M003,M003,P.S. 003 Charrette School,310000000000.0,DOE,General Academic,Elementary,Yes,Yes,"Pre-K, K, 1, 2, 3, 4, 5, SE",7/1/1905,1905,113,982601,206184,102,3,7300,1005850041,MN23,West Village                                                               ,Lisa Siegman,2,M802,40.732603000000005,-74.005949,54,317,54,17%,125,416,127,31%,No 6th Grade,No 6th Grade,No 6th Grade,No 6th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,54,19,35%,35,65%,7,13%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,7,13%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,39,72%,211,72%,219,77%,No,9,25,0,0,0,0,Dance Room,N,Inside,N,No,No,78,"$7,119,119",$0,$0,753,126,134,113,98,120,108,0,0,0,0,0,0,0,369,49%,384,51%,65,9%,43,6%,104,14%,39,5%,502,67%,139,18%,24,3%,157,21%,19%,103,306,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,None,212-691-1183,"490 HUDSON STREET, MANHATTAN NY 10014",0,2,No,Not Accessible,Yes
20,02M006,M006,P.S. 006 Lillie D. Blake,310000000000.0,DOE,General Academic,Elementary,Yes,Yes,"Pre-K, K, 1, 2, 3, 4, 5, SE",7/1/1953,1953,65,995210,222630,108,4,14200,1014930021,MN40,Upper East Side-Carnegie Hill                                              ,Lauren Fontana,2,M802,40.777737,-73.960427,72,647,72,11%,100,875,155,18%,No 6th Grade,No 6th Grade,No 6th Grade,No 6th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,78,38,49%,40,51%,17,22%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,53,68%,274,90%,278,91%,No,6,25,0,0,25,1,Gymnasium,N,Inside,N,No,No,65,"$6,391,838","$238,026",$343,694,100,105,93,97,106,115,0,0,0,0,0,0,0,340,49%,354,51%,103,15%,17,2%,45,6%,12,2%,517,74%,102,15%,20,3%,80,12%,12%,81,203,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,N,None,212-452-6650,"45 EAST  81 STREET, MANHATTAN NY 10028",1,1,No,Not Accessible,No
21,02M011,M011,P.S. 011 William T. Harris,310000000000.0,DOE,General Academic,Elementary,Yes,Yes,"Pre-K, K, 1, 2, 3, 4, 5, SE",7/1/1925,1925,93,984044,210404,104,3,8900,1007440024,MN13,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,Robert Bender,2,M802,40.744186,-74.000743,18,272,18,7%,125,404,131,32%,No 6th Grade,No 6th Grade,No 6th Grade,No 6th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,18,9,50%,9,50%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,12,67%,318,72%,327,73%,Yes,12,23,0,24,23,2,Dance Room,N,Inside,N,No,No,86,"$7,603,525",$0,$0,923,140,155,146,131,150,183,0,0,0,0,0,0,0,463,50%,460,50%,146,16%,57,6%,223,24%,60,7%,437,47%,122,13%,30,3%,271,29%,34%,104,354,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",Yes,N,None,212-929-1743,"320 WEST  21 STREET, MANHATTAN NY 10011",1,1,No,Not Accessible,No
22,02M033,M033,P.S. 033 Chelsea Prep,310000000000.0,DOE,General Academic,Elementary,Yes,Yes,"Pre-K, K, 1, 2, 3, 4, 5, SE",7/1/1951,1951,67,984184,212163,104,3,9700,1007240023,MN13,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,Chingchien Wang,2,M802,40.749014,-74.000238,36,228,36,16%,50,214,59,28%,No 6th Grade,No 6th Grade,No 6th Grade,No 6th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,36,18,50%,18,50%,8,22%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,11,31%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,9,25%,203,67%,193,65%,Yes,13,23,0,24,0,1,Gymnasium,Y,Inside,N,No,No,66,"$5,617,493","$80,000",$123,650,100,96,98,121,102,97,0,0,0,0,0,0,0,342,53%,308,47%,147,23%,117,18%,183,28%,54,8%,149,23%,101,16%,29,4%,309,48%,49%,157,314,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",Yes,N,None,212-244-6426,"281 9 AVENUE, MANHATTAN NY 10001",1,0,Yes,Fully Accessible,No
23,02M040,M040,P.S. 040 Augustus Saint-Gaudens,310000000000.0,DOE,General Academic,Elementary,Yes,Yes,"Pre-K, K, 1, 2, 3, 4, 5, SE",07/01/1899,1899,119,989367,207177,106,2,6400,1009250012,MN21,Gramercy                                                                   ,Susan Felder,2,M802,40.735328,-73.981536,36,302,36,12%,125,455,160,35%,No 6th Grade,No 6th Grade,No 6th Grade,No 6th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,36,22,61%,14,39%,6,17%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,8,22%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,19,53%,245,89%,246,88%,No,9,26,0,0,26,0,Gymnasium,Y,Inside,N,No,No,55,"$5,837,483","$266,086",$395,673,127,125,96,96,97,96,0,0,0,0,0,0,0,346,51%,327,49%,80,12%,10,1%,95,14%,73,11%,415,62%,107,16%,21,3%,63,9%,16%,61,304,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Zoned Waitlist,None,212-475-5500,"320 EAST 20TH STREET, MANHATTAN NY 10003",0,2,Yes,Not Accessible,Yes
24,02M041,M041,P.S. 041 Greenwich Village,310000000000.0,DOE,General Academic,Elementary,Yes,Yes,"Pre-K, K, 1, 2, 3, 4, 5, SE",7/1/1958,1958,60,984501,207221,102,3,7100,1006060049,MN23,West Village                                                               ,Kelly Shannon,2,M802,40.73545,-73.999094,36,440,36,8%,125,632,128,20%,No 6th Grade,No 6th Grade,No 6th Grade,No 6th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,36,21,58%,15,42%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,27,75%,266,86%,272,87%,No,0,24,0,0,25,0,Dance Room,N,Inside,N,No,No,68,"$6,120,575","$236,326",$341,694,119,100,119,90,123,107,0,0,0,0,0,0,0,376,54%,318,46%,54,8%,9,1%,72,10%,80,12%,479,69%,101,15%,11,2%,60,9%,7%,38,271,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,None,212-675-2756,"116 WEST  11 STREET, MANHATTAN NY 10011",1,1,No,Not Accessible,Yes
25,02M042,M042,P.S. 042 Benjamin Altman,310000000000.0,DOE,General Academic,Elementary,Yes,Yes,"Pre-K, K, 1, 2, 3, 4, 5, SE",07/01/1899,1899,119,986793,200181,103,1,1600,1003090001,MN27,Chinatown                                                                  ,May Lee,2,M802,40.716126,-73.990826,54,143,53,37%,125,248,94,38%,No 6th Grade,No 6th Grade,No 6th Grade,No 6th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,42,17,40%,25,60%,27,64%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,8,19%,178,60%,230,76%,No,Redacted For Privacy Concerns,21,0,0,24,0,Gym/Cafeteria,N,Inside,Y,No,No,74,"$7,655,835",$0,$0,653,112,99,95,90,86,129,0,0,0,0,0,0,0,307,47%,346,53%,579,89%,9,1%,44,7%,5,1%,16,2%,110,17%,225,34%,493,75%,82%,127,597,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,None,212-226-8410,"71 HESTER STREET, MANHATTAN NY 10002",0,2,No,Not Accessible,Yes
26,02M051,M051,P.S. 051 Elias Howe,310000000000.0,DOE,General Academic,Elementary,Yes,Yes,"Pre-K, K, 1, 2, 3, 4, 5, SE",7/1/1905,1905,113,985501,216735,104,3,12900,1010730014,MN15,Clinton                                                                    ,Ryan Bourke,2,M802,40.761487,-73.995825,72,175,72,41%,75,174,92,53%,No 6th Grade,No 6th Grade,No 6th Grade,No 6th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,68,30,44%,38,56%,16,24%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,20,29%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,21,31%,72,45%,68,41%,No,Redacted For Privacy Concerns,22,0,0,24,1,Gym/Auditorium,Y,Inside,Y,No,No,65,"$5,869,248","$40,565",$90,453,66,73,62,59,64,61,0,0,0,0,0,0,0,232,51%,221,49%,81,18%,72,16%,205,45%,14,3%,81,18%,90,20%,35,8%,265,58%,60%,151,355,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,None,212-315-7160,"525 WEST 44TH STREET, MANHATTAN NY 10036",0,1,Yes,Fully Accessible,No
27,02M059,M059,P.S. 059 Beekman Hill International,310000000000.0,DOE,General Academic,Elementary,Yes,Yes,"Pre-K, K, 1, 2, 3, 4, 5, SE",7/1/1960,1960,58,993533,215912,106,4,10800,1013300013,MN19,Turtle Bay-East Midtown                                                    ,Adele Schroeter,2,M802,40.759248,-73.96720400000001,18,466,18,4%,125,548,141,26%,No 6th Grade,No 6th Grade,No 6th Grade,No 6th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,20,11,55%,9,45%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,15,75%,199,83%,203,84%,No,8,24,0,0,24,1,Multi-Purpose Non Classroom,Y,Inside,Y,No,No,58,"$5,105,359","$190,846",$311,614,118,104,112,101,62,97,0,0,0,0,0,0,0,313,51%,301,49%,108,18%,8,1%,64,10%,57,9%,377,61%,92,15%,23,4%,54,9%,8%,41,183,2,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,N,None,212-888-7870,"231-249 EAST 56 STREET, MANHATTAN NY 10019",1,1,Yes,Fully Accessible,No
28,02M077,M077,P.S. 77 Lower Lab School,310000000000.0,DOE,General Academic,Elementary,Yes,No,"K, 1, 2, 3, 4, 5",7/1/1999,1999,19,997980,225284,108,5,15801,1015240023,MN40,Upper East Side-Carnegie Hill                                              ,Sandra Miller,2,M802,40.785018,-73.95042,No Pre K,No Pre K,No Pre K,No Pre K,No Data,No Data,No Data,No Data,No 6th Grade,No 6th Grade,No 6th Grade,No 6th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,184,100%,182,99%,Yes,9,0,0,25,0,1,Multi-Purpose Classroom,Y,Inside,Y,No,No,27,"$2,749,813","$322,879",$902,358,50,60,64,64,63,57,0,0,0,0,0,0,0,174,49%,184,51%,112,31%,1,0%,22,6%,42,12%,181,51%,34,9%,0,0%,20,6%,9%,33,139,1,G&T Only,schools that exclusively offer Gifted & Talented programming and eligibility is determined by test score,Yes,No Data,None,212-427-2798,"1700 3 AVENUE, MANHATTAN NY 10128",1,0,Yes,Not Accessible,No
29,02M089,M089,P.S. 89,310000000000.0,DOE,General Academic,Elementary,Yes,Yes,"Pre-K, K, 1, 2, 3, 4, 5, 6, SE",7/1/1998,1998,20,980378,200503,101,1,31703,1000160221,MN25,Battery Park City-Lower Manhattan                                          ,Veronica Najjar,2,M802,40.717009999999995,-74.01396700000001,36,371,36,10%,100,536,119,22%,No Data,No Data,No Data,No Data,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,36,18,50%,18,50%,8,22%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,6,17%,20,56%,149,88%,150,86%,No,0,24,0,0,24,0,Dance Room,Y,Inside,N,No,No,50,"$4,791,629","$460,000","$1,062",433,97,64,53,62,76,45,0,0,0,0,0,0,0,212,49%,221,51%,75,17%,7,2%,62,14%,34,8%,255,59%,59,14%,20,5%,85,20%,7%,15,121,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,N,None,212-571-5659,"201 WARREN STREET, MANHATTAN NY 10282",1,1,Yes,Fully Accessible,No
30,02M111,M111,P.S. 111 Adolph S. Ochs,310000000000.0,DOE,General Academic,Elementary,Yes,Yes,"Pre-K, K, 1, 2, 3, 4, 5, SE",7/1/1958,1958,60,987082,218308,104,3,13300,1010620003,MN15,Clinton                                                                    ,Edward Gilligan,2,M802,40.765879999999996,-73.989776,54,150,54,36%,50,155,108,70%,No 6th Grade,No 6th Grade,No 6th Grade,No 6th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,46,23,50%,23,50%,8,17%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,18,39%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,13,28%,69,47%,65,44%,Yes,25,19,0,19,19,1,Gymnasium,Y,Inside,N,No,No,56,"$5,363,582",$0,$0,395,58,48,76,51,58,58,0,0,0,0,0,0,0,177,45%,218,55%,66,17%,59,15%,188,48%,15,4%,67,17%,80,20%,49,12%,238,60%,62%,85,241,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",Yes,Yes,None,212-582-7420,"440 WEST  53 STREET, MANHATTAN NY 10019",1,1,No,Not Accessible,No
